pond,date,time,temp_c,do_perc,ph,orp,cond,turb,chla,nh4_mgl,no3_mgl,par,do_mgl,depth_m,notes
Howarth,7/19/2023,11:41:05,18,0.3,6.47,-165.1,1244,10.22,16.92,13,0.8,0,0.02,2.45,bottom
Levine,7/17/2023,10:55:19,26.25,93.5,7.5,201.5,312.5,1.37,11.71,0.4,0,2562.2,7.32,0.25,
Levine,7/17/2023,10:55:49,26.18,86.5,7.54,198.7,312.7,1.65,14.73,0.4,0,702,6.78,0.5,
Levine,7/17/2023,10:56:19,26.16,77.4,7.53,198.2,312.7,1.56,17.59,0.4,0,396.7,6.07,0.75,
Levine,7/17/2023,10:56:43,26.11,73.5,7.54,197.4,312.5,1.79,15.71,0.4,0,283.2,5.76,1,
Levine,7/17/2023,10:57:05,26.04,71,7.5,197.9,313,1.58,17.87,0.4,0,269.8,5.58,1.25,
Levine,7/17/2023,10:57:25,25.97,68,7.46,198.2,313.6,1.93,13.53,0.4,0,118.4,5.35,1.5,
Levine,7/17/2023,10:57:45,25.86,65.5,7.46,198.1,313.7,2.21,12.52,0.4,0,85.3,5.17,1.75,
Levine,7/17/2023,10:58:47,25.52,28,7.24,201.7,321.3,3.66,16.16,0.4,0,156.2,2.22,2,
Levine,7/17/2023,10:59:23,24.35,16.3,7.18,200.6,337.5,7.51,20.13,0.4,0,114.8,1.32,2.25,
Levine,7/17/2023,11:00:09,23.17,6.4,7.19,75.1,352.7,13.14,19.81,0.4,0,75,0.53,2.5,
Levine,7/17/2023,11:00:31,22.66,3.7,7.17,-70.3,365.2,37.9,39.97,0.4,0,59,0.31,2.6,bottom
Shelterbelt,7/20/2023,10:57:50,23.56,23.4,6.63,130.9,450.5,0.03,29.87,1.1,0.1,2978.7,1.93,0.25,
Shelterbelt,7/20/2023,10:59:18,23.39,21.3,6.61,131.9,450.3,0.2,34.03,1.1,0.1,2045.8,1.75,0.5,
Shelterbelt,7/20/2023,11:00:24,23.08,20.5,6.6,133.9,449,1.57,41.45,1.1,0.1,686.2,1.7,0.75,
Shelterbelt,7/20/2023,11:01:36,22.96,19.6,6.59,136,448.6,0.28,37.44,1.1,0.1,101.3,1.63,1,
Shelterbelt,7/20/2023,11:02:53,22.82,18.4,6.59,135.3,449,0.19,41.29,1.1,0.1,33,1.54,1.25,
Shelterbelt,7/20/2023,11:05:21,22.56,14.2,6.55,81,462.7,1.45,37.12,1.1,0.1,63,1.19,1.5,
Shelterbelt,7/20/2023,11:08:43,21.57,1.5,6.37,-90,550.5,21.52,70.81,2,0.2,52.5,0.13,1.75,
Shelterbelt,7/20/2023,11:09:53,20.21,0.5,6.34,-119.2,611.2,16.16,101.31,2.8,0.4,24.4,0.04,2,
Shelterbelt,7/20/2023,11:10:57,18.47,0.1,6.34,-141.7,814.5,15.53,32.52,3.9,0.4,6,0.01,2.25,bottom
White,7/18/2023,15:27:53,27.13,113.7,7.86,117.5,442.6,2.19,23.14,0.1,0.3,1234.6,8.76,0.25,
White,7/18/2023,15:28:31,26.91,115.6,7.86,119.1,442.4,3.07,28.59,0.1,0.3,611.2,8.94,0.5,
White,7/18/2023,15:29:03,26.66,116.7,7.85,121.8,442,3.1,35.14,0.1,0.3,475.8,9.07,0.75,
White,7/18/2023,15:29:33,26.39,117.6,7.85,123.8,441.9,3.73,39.71,0.1,0.3,337.4,9.18,1,
White,7/18/2023,15:30:05,26.21,118,7.84,126,442.1,3.19,46.19,0.1,0.3,245.3,9.24,1.25,
White,7/18/2023,15:30:43,25.9,117.5,7.79,127.8,442.5,3.32,55.47,0.1,0.3,168.2,9.25,1.5,
White,7/18/2023,15:31:39,25.78,113.7,7.77,129.6,444.8,2.65,67.51,0.1,0.3,125.6,8.97,1.75,
White,7/18/2023,15:32:21,25.38,111.3,7.67,132,442.8,3.36,86.09,0.1,0.3,95.2,8.85,2,
White,7/18/2023,15:32:49,24.59,110.7,7.64,133.7,430.1,5.8,121.73,0.1,0.1,76.9,8.93,2.25,
White,7/18/2023,15:33:23,23.21,90.1,7.42,139.5,430,10.99,514.14,0.1,0,61.8,7.46,2.5,
White,7/18/2023,15:33:59,20.82,66.3,6.98,-59.1,463,15.09,280.53,0.7,0,54.8,5.75,2.75,
White,7/18/2023,15:34:31,19.17,41,6.79,-106.7,549.3,22.01,148.32,4.9,0,1.7,3.67,3,
White,7/18/2023,15:35:05,18.41,23.5,6.73,-110.5,592.5,32.59,194.43,7.8,0,-2.1,2.14,3.1,bottom
Harrison,7/17/2023,13:02:56,26.84,115.1,9.14,147.5,192.7,-0.31,12,0.2,0.1,2937,8.92,0.25,
Harrison,7/17/2023,13:05:21,26.73,117.9,9.21,134.6,193.3,-0.27,12.88,0.2,0.1,1846.6,9.15,0.5,
Harrison,7/17/2023,13:05:49,26.44,124.2,9.22,132.5,193.2,-0.11,20.63,0.2,0.1,1115,9.69,0.75,
Harrison,7/17/2023,13:06:07,26.3,126.7,9.2,133.2,193,-0.2,20.05,0.2,0.1,945.6,9.91,1,
Harrison,7/17/2023,13:06:25,26.2,128.5,9.2,133,194.2,-0.23,22.59,0.2,0.1,648.5,10.07,1.25,
Harrison,7/17/2023,13:06:45,26.15,130.8,9.18,134.3,194.2,-0.04,22.31,0.2,0,494.7,10.26,1.5,
Harrison,7/17/2023,13:07:05,26.12,132.7,9.19,133.7,194.3,-0.15,23.22,0.2,0,495.6,10.42,1.75,
Harrison,7/17/2023,13:07:21,26.06,134.3,9.2,132.5,194.2,-0.12,23.29,0.2,0,456,10.55,2,
Harrison,7/17/2023,13:07:43,25.88,135.5,9.26,130.6,195.1,-0.25,25.77,0.2,0.1,308.8,10.69,2.25,
Harrison,7/17/2023,13:08:29,25.52,146.3,9.43,124.4,200.4,0.42,33.01,0.2,0.1,298.2,11.61,2.5,
Harrison,7/17/2023,13:08:55,25.1,152.3,9.46,123.2,203.1,0.41,35.21,0.1,0.1,269.5,12.18,2.75,
Harrison,7/17/2023,13:09:15,24.2,156.2,9.39,124.7,211.7,-0.05,36.76,0.2,0.1,202,12.7,3,
Harrison,7/17/2023,13:09:33,23.04,155.7,9.15,129.9,221.3,0.28,38.21,0.2,0.1,175.9,12.94,3.25,
Harrison,7/17/2023,13:09:51,22.7,141.8,8.61,136.9,224.7,11.63,60.91,0.2,0.1,163.2,11.86,3.4,bottom
Mt Pleasant SE,7/20/2023,14:16:13,26.23,149.6,9.74,54.4,91.6,14.92,12.09,0,0.6,3973.3,11.72,0.25,
Mt Pleasant SE,7/20/2023,14:17:09,25.17,151.4,9.76,48.9,92.4,16.59,17.21,0,0.4,1419.6,12.1,0.5,
Mt Pleasant SE,7/20/2023,14:21:27,23.79,115.7,9.34,57.7,83.7,16.69,37.41,0,0.2,22.5,9.49,0.75,
Mt Pleasant SE,7/20/2023,14:24:05,23.38,56.4,8.43,86.8,88.2,12.65,37.23,0.1,0.1,49.5,4.66,1,
Mt Pleasant SE,7/20/2023,14:28:12,22.91,12.9,6.94,128.9,103.3,10.4,52.32,0.4,0,24.6,1.07,1.25,
Mt Pleasant SE,7/20/2023,14:31:36,21.27,1.2,6.78,-115.5,178.6,22.86,24.47,1.7,0,14.8,0.1,1.5,
Mt Pleasant SE,7/20/2023,14:32:56,19.91,0.3,6.76,-152.2,257,7.25,15.52,5,0.1,1.5,0.03,1.75,
Mt Pleasant SE,7/20/2023,14:33:48,18.66,0,6.68,-158,323,21.9,16.72,8.4,0.1,-3.4,0,2,bottom
